title,year,genre,country,avg_vote
The Thundering Herd,1933,Western,USA,5.7
Two Alone,1934,Drama,USA,6.3
Storia di erbe fluttuanti,1934,Drama,Japan,7.8
La verbena de la Paloma,1935,Musical,Spain,6.3
Resurrezione,1934,Drama,USA,6.4
We're Rich Again,1934,Comedy,USA,6.5
Wednesday's Child,1934,Drama,USA,5.9
What Every Woman Knows,1934,Comedy,USA,6.6
You're Telling Me!,1934,Comedy,USA,7.5
Aerograd,1935,Drama,Soviet Union,6.1
Aysel: Batakli damin kizi,1934,Drama,Turkey,6.5
La moglie indiana,1934,Drama,USA,6.1
The Big Broadcast of 1936,1935,Musical,USA,5.8
Gli allegri eroi,1935,Comedy,USA,6.9
Boys Will Be Boys,1935,Comedy,UK,6.5
Car of Dreams,1935,Comedy,UK,5.7
Dalle 7 alle 8,1935,Mystery,USA,6.3
"Chloe, Love Is Calling You",1934,Horror,USA,3.6
La città perduta,1935,Sci-Fi,USA,5.1
Paura d'amare,1935,Drama,USA,6.9
La nave di satana,1935,Drama,USA,6.6
Dinky,1935,Drama,USA,5.6
Doubting Thomas,1935,Comedy,USA,6.7
A Feather in Her Hat,1935,Drama,USA,6.4
The Flame Within,1935,Drama,USA,5.9
Four Hours to Kill!,1935,Drama,USA,6.4
Gentleman's Agreement,1935,Drama,UK,6.2
The Girl from 10th Avenue,1935,Drama,USA,6.8
Grand Exit,1935,Mystery,USA,6.0
Gubijinsô,1935,Drama,Japan,6.5
Il presidente si diverte,1935,Comedy,UK,7.1
In Old Kentucky,1935,Comedy,USA,6.6
Colpo proibito,1935,Comedy,USA,6.3
Jinsei no onimotsu,1935,Drama,Japan,6.7
Terra di fuorilegge,1935,Western,USA,5.1
La vita comincia a quarant'anni,1935,Comedy,USA,6.9
The Lone Wolf Returns,1935,Mystery,USA,6.8
Man of the Moment,1935,Comedy,UK,6.3
Man on the Flying Trapeze,1935,Comedy,USA,7.5
Fuggiasca,1935,Drama,USA,6.7
Mary Jane's Pa,1935,Drama,USA,6.5
Mazurka tragica,1935,Drama,Germany,6.8
Midnight Phantom,1935,Mystery,USA,4.7
The Mysterious Mr. Wong,1934,Mystery,USA,4.9
La ragazza di Moorhof,1935,Drama,Germany,6.9
Il circo,1935,Drama,USA,6.5
La lampada cinese,1935,Drama,USA,6.5
Once in a New Moon,1934,Sci-Fi,UK,5.5
Orizuru Osen,1934,Drama,Japan,7.1
Otome-gokoro - Sannin-shimai,1935,Drama,Japan,6.8
